cellName,coverage_bool_vcf,depth_vcf,coverage_bool_gvcf,depth_gvcf
A10_1001000407,1,"['3', '607', '3', '790', '816', '656', '632', '608']",1,"['249', '3', '607', '3', '790', '773', '627', '632', '592']"
A10_1001000408,1,"['160', '169', '133', '163']",1,"['160', '169', '128', '163']"
A10_1001000412,1,"['260', '466', '527', '555', '629', '522']",1,"['261', '464', '514', '555', '629', '522']"
A10_B000863,1,['290'],1,['282']
A10_B001470,1,"['6', '3', '3', '3', '29', '84', '121', '100']",1,"['6', '3', '3', '3', '29', '84', '121', '100']"
A10_B001545,1,"['560', '492', '608', '672', '421']",1,"['360', '560', '468', '579', '672', '421']"
A10_B001548,1,"['12', '627', '1168', '1360', '1006', '1027', '1109', '1109']",1,"['12', '627', '1168', '1360', '1006', '1027', '1109', '1109']"
A10_B001554,0,0,0,0
A10_B002572,1,"['103', '552', '475', '468', '699', '701', '584', '577', '577', '577', '577', '577', '577', '577', '577', '616', '578', '578', '578', '582']",1,"['99', '552', '475', '468', '671', '701', '584', '547', '547', '547', '547', '547', '547', '547', '547', '586', '548', '548', '548', '552']"
A10_B003115,1,"['32', '85', '104', '105', '83', '79']",1,"['32', '85', '104', '105', '83', '79']"
A10_B003527,1,"['1894', '1983', '2135', '2307', '1965', '1928', '1379']",1,"['1899', '1982', '2135', '2011', '2103', '1967', '1927', '1372']"
A10_B003528,1,"['376', '610', '585', '424', '493', '95']",1,"['340', '610', '585', '422', '491', '94']"
A10_B003529,1,"['942', '646', '876', '1066', '1066', '1066', '1066', '1066', '1066', '1066', '1066', '1066', '1066', '1066', '1066', '1066', '1066', '709', '868']",1,"['942', '579', '874', '1006', '1006', '1006', '1006', '1006', '1006', '709', '866']"
A10_B003588,1,"['1067', '1110', '1110', '1265', '177', '119', '68', '1537', '1537', '1537', '1534', '1156']",1,"['1261', '178', '120', '70', '1468', '1468', '1468', '1554', '1555']"
A11_1001000407,1,"['395', '711', '832', '918', '811', '731']",1,"['396', '657', '918', '811', '732']"
A11_B001470,1,"['7', '151', '407', '456', '456', '456', '471']",1,"['5', '150', '407', '438', '438', '438', '471']"
A11_B001474,1,"['114', '123', '123', '138', '154', '200']",1,"['123', '123', '138', '154', '200']"
A11_B001545,1,"['954', '710', '1071', '1173', '1173', '1173', '1173', '1174', '693', '884']",1,"['869', '2', '711', '1072', '1117', '1117', '1117', '1117', '1118', '692', '883']"
A11_B002077,1,"['616', '396']",1,"['616', '396']"
A11_B002079,1,"['613', '569']",1,"['613', '569']"
A11_B002573,1,"['127', '96', '96', '96', '96', '83', '104']",1,"['127', '96', '96', '96', '96', '83', '101']"
A11_B003067,1,"['165', '141', '238', '232']",1,"['165', '141', '238', '232']"
A11_B003115,1,['381'],1,['381']
A11_B003119,1,"['908', '1067', '1392', '1187', '1134', '650']",1,"['908', '1067', '1317', '1187', '1076', '637']"
A11_B003518,1,"['255', '255', '251', '319', '318', '382', '403', '473', '405', '353', '281']",1,"['243', '243', '239', '382', '403', '473', '405', '353', '281']"
A11_B003523,1,"['869', '974', '1169', '1211', '1060']",1,"['806', '980', '1165', '1209', '1058']"
A11_B003528,1,"['579', '1156', '1404', '1601', '1795', '1278', '1247']",1,"['579', '1051', '1400', '1602', '1798', '1277', '1247']"
A12_1001000317,1,"['1086', '1082']",1,"['1052', '1027']"
A12_1001000412,1,"['382', '943', '1027', '1135', '990', '946']",1,"['627', '1589', '5', '1708', '1963', '1495', '1647', '1524', '1193']"
A12_B002078,1,"['18', '3', '3', '1533', '1202']",1,"['18', '3', '3', '1435', '1199']"
A12_B002572,1,"['653', '684', '612', '612', '612', '612', '613', '612', '612', '613']",1,"['653', '684', '597', '597', '597', '597', '598', '597', '597', '598']"
A12_B003070,1,"['852', '851', '1122', '1158', '1158', '834', '916', '937']",1,"['716', '715', '1120', '1058', '1058', '834', '872']"
A12_B003105,1,"['8', '768', '658', '823', '858', '858', '858', '598', '743', '835']",1,"['8', '768', '658', '823', '858', '858', '858', '598', '743', '835']"
A12_B003119,1,"['308', '9']",1,"['1', '308', '9']"
A13_1001000407,1,"['347', '807', '942', '968', '820', '786', '807', '725', '50']",1,"['627', '1456', '1787', '1726', '1482', '1430', '1175', '82']"
A13_B000420,1,['51'],1,['51']
A13_B002079,1,"['119', '238']",1,"['119', '238']"
A13_B003103,1,"['178', '298', '321', '525', '382']",1,"['178', '298', '321', '525', '382']"
A13_B003518,1,"['285', '322', '388', '348']",1,"['246', '322', '388', '348']"
A13_B003771,1,['39'],1,['39']
A13_B003894,1,"['284', '298', '180', '552', '186', '195', '195', '304', '448', '44', '41']",1,"['284', '298', '180', '551', '186', '195', '194', '304', '449', '44', '41']"
A14_1001000339,1,"['13', '30', '26']",1,"['13', '30', '26']"
A14_1001000340,0,0,0,0
A14_1001000407,1,"['3', '913', '3', '1140', '1183', '1123', '1123', '1174', '1125', '927', '980', '994', '864']",1,"['17', '1657', '5', '1629', '1690', '1879', '1625', '1626', '1444', '1789', '1684', '1296']"
A14_1001000408,1,"['167', '314', '378', '285']",1,"['300', '659', '699', '769', '674', '595', '619']"
A14_1001000412,1,"['510', '461', '459']",1,"['947', '1080', '1021', '942', '942', '942', '942', '942', '982', '804', '898']"
A14_B001016,1,"['91', '99', '155']",1,"['91', '99', '155']"
A14_B002078,0,0,0,0
A14_B002079,1,"['68', '60', '4', '56', '211']",1,"['68', '60', '4', '56', '211']"
A14_B003105,1,"['1241', '966', '1092', '1221', '1425', '1444', '1444', '1444', '1075', '1228']",1,"['1241', '966', '1092', '1221', '1425', '1444', '1444', '1444', '1075', '1228']"
A14_B003112,1,"['47', '91']",1,"['47', '91']"
A14_B003132,1,"['90', '146', '134', '114', '160', '160', '128', '83', '155']",1,"['90', '146', '134', '114', '160', '160', '128', '83', '155']"
A14_B003187,1,"['149', '170', '401', '414', '524', '602', '542', '587', '575', '487', '487', '478', '483', '520', '472', '544']",1,"['150', '170', '404', '414', '524', '602', '542', '587', '575', '487', '487', '478', '483', '520', '471', '544']"
A14_B003191,1,"['28', '88', '80']",1,"['28', '88', '80']"
A14_B003518,1,"['353', '515', '511', '588']",1,"['284', '515', '511', '574']"
A14_B003529,1,"['384', '391', '363', '363', '395', '591']",1,"['384', '391', '329', '329', '395', '591']"
A14_B003771,1,26,1,26
A14_B003776,1,"['1', '1027', '1356', '1465', '1325', '1425']",1,"['1', '1026', '1352', '1462', '1327', '1426']"
A14_B003930,1,"['147', '230', '242', '431', '526', '414']",1,"['147', '230', '242', '431', '526', '414']"
A15_1001000407,1,"['355', '819', '937', '1104', '1079', '997', '997', '1006', '1006', '916', '932', '753', '41']",1,"['1473', '1543', '1813', '1667', '1667', '1667', '1456', '1611', '1412', '1184', '62']"
A15_1001000408,1,"['118', '161', '134', '114', '17']",1,"['189', '264', '264', '264', '264', '344', '323', '271', '245', '26']"
A15_B000420,0,0,0,0
A15_B001557,1,"['1600', '1786', '2012', '2078', '1810', '1762', '2238']",1,"['1600', '1786', '2012', '2078', '1810', '1762', '2238']"
A15_B002073,1,['27'],1,['27']
A15_B002074,1,"['13', '27']",1,"['13', '27']"
A15_B002078,1,"['1145', '1404', '1550']",1,"['1', '1337', '1483']"
A15_B002079,1,"['10', '4', '3', '3', '405']",1,"['10', '4', '3', '3', '405']"
A15_B003105,1,"['505', '1006', '2', '923', '1161', '1180', '1211', '1211', '927']",1,"['505', '1006', '2', '923', '1161', '1180', '1211', '1211', '927']"
A15_B003112,1,2,1,2
A15_B003116,1,"['558', '498']",1,"['560', '492']"
A15_B003125,1,"['6', '60']",1,"['6', '60']"
A15_B003126,0,0,0,0
A15_B003129,1,"['518', '415', '332', '231', '231', '453', '419', '386', '402', '315']",1,"['467', '415', '332', '231', '231', '454', '420', '386', '403', '316']"
A15_B003191,1,"['147', '431', '416', '471', '507', '584', '594', '430']",1,"['431', '416', '471', '486', '548', '524', '430']"
A15_B003518,1,"['586', '623', '669', '687']",1,"['558', '623', '669', '687']"
A15_B003522,1,"['1318', '7', '5', '3', '1404', '1524', '1028', '1217', '1217']",1,"['1319', '7', '5', '4', '1403', '1524', '1029', '1175', '1175', '1222']"
A15_B003527,1,"['9', '9', '2657', '3235', '3166', '3297', '3087', '3087', '3087', '3405', '3185', '3002', '2425', '2386', '2342']",1,"['10', '10', '2660', '8', '3225', '3162', '3140', '2932', '2932', '2932', '3055', '2996', '2411']"
A15_B003771,1,"['37', '35', '207']",1,"['37', '35', '207']"
A15_B003894,1,"['155', '211']",1,"['155', '211']"
A15_B003920,1,"['164', '22', '26', '26', '26', '41', '52', '9', '9', '3', '3', '3', '143', '197', '358', '286', '303', '82', '66', '47']",1,"['164', '22', '26', '26', '26', '41', '52', '9', '9', '3', '3', '3', '143', '197', '326', '286', '303', '82', '66', '47']"
A16_1001000412,1,"['391', '417', '496', '364', '376', '393']",1,"['745', '778', '917', '735', '799']"
A16_B001007,0,0,0,0
A16_B001010,1,"['379', '806', '821']",1,"['379', '806', '821']"
A16_B002073,1,"['241', '227']",1,"['241', '227']"
A16_B002074,0,0,0,0
A16_B003112,1,"['43', '43', '43', '43', '43', '117', '117', '143']",1,"['31', '31', '31', '31', '31', '117', '117', '143']"
A16_B003116,1,"['170', '170', '147', '140', '105']",1,"['170', '170', '147', '140', '105']"
A16_B003120,1,['67'],1,['68']
A16_B003125,1,['69'],1,['69']
A16_B003129,1,['538'],1,['538']
A16_B003187,1,56,1,56
A16_B003191,1,"['27', '4', '4', '4', '27', '61', '61', '78']",1,"['27', '4', '4', '4', '27', '61', '61', '78']"
A16_B003654,1,"['1274', '2146', '2319', '2144', '2145']",1,"['1283', '2042', '2215', '2041', '2042']"
A16_B003775,1,"['174', '251', '464', '492', '450']",1,"['174', '238', '462', '492', '450', '2']"
A16_B003777,0,0,0,0
A16_B003894,1,"['809', '419', '446', '315', '315', '358', '401']",1,['808']
A16_B003930,1,"['168', '301', '344', '551', '400', '468', '438']",1,"['168', '301', '344', '551', '400', '468', '438']"
A16_B003995,1,110,1,110
A17_1001000407,1,"['819', '980', '1035', '917', '838', '833']",1,"['1304', '1536', '1694', '1767', '1459', '1529', '1435']"
A17_1001000408,1,"['177', '405', '401', '370', '359', '306']",1,"['2', '693', '804', '820', '690', '725', '668', '676', '49', '41']"
A17_1001000412,1,"['151', '355', '412', '366', '330', '389']",1,"['755', '890', '685', '656', '662']"
A17_B000422,1,['159'],1,['159']
A17_B001010,1,"['1085', '781', '1079', '1251', '1177', '1103']",1,"['1085', '781', '1079', '1251', '1177', '1103']"
A17_B002073,0,0,0,0
A17_B003518,1,"['75', '135']",1,"['75', '135']"
A17_B003654,1,"['33', '50', '50', '50', '50', '52', '5']",1,"['33', '50', '50', '50', '50', '52', '5']"
A17_B003771,1,416,1,416
A18_B000420,1,"['1147', '1230', '1382', '1382', '1384', '1490']",1,"['1145', '1175', '1309', '1309', '1311', '1493']"
A18_B001007,0,0,0,0
A18_B002078,1,"['1244', '4', '1559', '1545', '1545', '1545', '1545', '1366', '66']",1,"['1241', '1556', '1452', '1452', '1452', '1453', '1366', '66']"
A18_B002079,1,"['33', '33', '33', '33', '35', '59', '52', '5']",1,"['33', '33', '33', '33', '35', '59', '52', '5']"
A18_B003112,1,"['14', '200', '138', '89', '89']",1,"['14', '200', '138', '89', '89']"
A18_B003120,1,"['673', '990', '1181', '1058', '1749', '1040', '1090', '1090', '1129', '1121', '1091', '1094', '1085', '1086', '1091', '1112', '1109', '1107', '1086', '1113', '1137', '1111', '1108', '1121', '1143', '1105', '1119', '1142', '1085', '1071']",1,"['673', '921', '1184']"
A18_B003518,1,"['195', '295', '458', '491']",1,"['196', '295', '458', '491']"
A18_B003522,1,"['18', '22', '16', '78']",1,"['18', '22', '16', '78']"
A18_B003588,1,"['255', '383', '429', '642', '527', '505']",1,"['252', '382', '428', '642', '527', '503']"
A18_B003654,1,"['16', '159', '294', '256', '234', '200']",1,"['16', '159', '294', '255', '234', '200']"
