"","x"
"1","A10_1001000293"
"2","A5_1001000293"
"3","C10_1001000292"
"4","D7_1001000292"
"5","E11_1001000295"
"6","E7_1001000294"
"7","E9_1001000295"
"8","F11_1001000295"
"9","F5_1001000295"
"10","G10_1001000294"
"11","G1_1001000295"
"12","G2_1001000295"
"13","G4_1001000295"
"14","G6_1001000294"
"15","H10_1001000295"
"16","H8_1001000294"
"17","H9_1001000294"
"18","H9_1001000295"
"19","A11_1001000294"
"20","A11_1001000295"
"21","A2_1001000295"
"22","A7_1001000295"
"23","A9_1001000295"
"24","B1_1001000294"
"25","B7_1001000295"
"26","B8_1001000294"
"27","B8_1001000295"
"28","C10_1001000294"
"29","C11_1001000295"
"30","C12_1001000295"
"31","C1_1001000294"
"32","C6_1001000295"
"33","C7_1001000295"
"34","D12_1001000295"
"35","D1_1001000292"
"36","D2_1001000294"
"37","D2_1001000295"
"38","D3_1001000294"
"39","D3_1001000295"
"40","D4_1001000295"
"41","D5_1001000294"
"42","D6_1001000294"
"43","D8_1001000295"
"44","E10_1001000295"
"45","E12_1001000292"
"46","E12_1001000295"
"47","E5_1001000293"
"48","E5_1001000295"
"49","E6_1001000295"
"50","E7_1001000295"
"51","E8_1001000295"
"52","F11_1001000292"
"53","F2_1001000292"
"54","F4_1001000292"
"55","F4_1001000293"
"56","F4_1001000295"
"57","F5_1001000294"
"58","F7_1001000295"
"59","G10_1001000295"
"60","G11_1001000294"
"61","G12_1001000293"
"62","G1_1001000294"
"63","G2_1001000294"
"64","G3_1001000295"
"65","G8_1001000294"
"66","G8_1001000295"
"67","G9_1001000295"
"68","H1_1001000295"
"69","H3_1001000295"
"70","H4_1001000295"
"71","H5_1001000295"
"72","H6_1001000294"
"73","H8_1001000292"
"74","A4_1001000294"
"75","A7_1001000294"
"76","A8_1001000294"
"77","B10_1001000295"
"78","B5_1001000294"
"79","C10_1001000295"
"80","C11_1001000293"
"81","C4_1001000294"
"82","C6_1001000294"
"83","D12_1001000294"
"84","D7_1001000293"
"85","E3_1001000295"
"86","E5_1001000294"
"87","E8_1001000294"
"88","E9_1001000294"
"89","G9_1001000293"
"90","G9_1001000294"
"91","H11_1001000293"
"92","H3_1001000292"
"93","H4_1001000294"
"94","H6_1001000295"
"95","H7_1001000293"
"96","B12_1001000314"
"97","B1_1001000314"
"98","C11_1001000314"
"99","D11_1001000320"
"100","G3_1001000327"
"101","C21_1001000409"
"102","D15_1001000410"
"103","D18_1001000378"
"104","G3_1001000410"
"105","H17_1001000410"
"106","H19_1001000411"
"107","I22_1001000410"
"108","E1_B001800"
"109","I4_B001797"
"110","M2_B001797"
"111","A19_B000863"
"112","B4_B003646"
"113","B7_B000863"
"114","G5_B003654"
"115","H7_B003646"
"116","K2_B003646"
"117","M10_B000262"
"118","M11_B000262"
"119","M12_B000262"
"120","M13_B000262"
"121","M14_B000262"
"122","M15_B000262"
"123","M16_B000262"
"124","M17_B000262"
"125","M18_B000262"
"126","M1_B000262"
"127","M20_B000262"
"128","M21_B000262"
"129","M22_B000262"
"130","M23_B000262"
"131","M2_B000262"
"132","M3_B000262"
"133","M4_B000262"
"134","M5_B000262"
"135","M6_B000262"
"136","M7_B000262"
"137","M8_B000262"
"138","M9_B000262"
"139","B11_B003071"
"140","D10_B003070"
"141","H16_B003070"
"142","K12_B003070"
"143","C8_B003117"
"144","H11_B002078"
"145","I4_B003527"
"146","L6_B003643"
"147","N10_B003658"
"148","M22_B003577"
"149","L4_B002090"
"150","C5_B003518"
"151","F10_B003187"
"152","F22_B003777"
"153","F5_B003529"
"154","G8_B003529"
"155","I13_B003132"
"156","O20_B003523"
"157","O4_B003523"
"158","O7_B003523"
"159","A3_B001543"
"160","E17_B002573"
"161","G13_B003775"
"162","H19_B001543"
"163","K4_B001545"
"164","O22_B001543"
"165","O9_B002571"
"166","L12_B003577"
"167","G5_B003070"
"168","I21_B003577"
"169","L4_B003116"
"170","H8_B001556"
"171","D4_1001000301"
"172","E16_1001000339"
"173","G14_1001000340"
"174","B5_B003785"
"175","O5_B003785"
"176","P4_B003785"
"177","E4_1001000366"
"178","H1_B001797"
"179","I1_B001797"
"180","N4_B001800"
"181","O2_B001799"
"182","B15_B003067"
"183","B17_B000861"
"184","B18_B000861"
"185","B3_B003067"
